RecordDate,AgencyName,FiscalYear,RestatementFlag,Measures,Amount (in Billions)
2011-09-30,Department of Agriculture,2011,Y,Net Cost,130.6
2011-09-30,Department of Labor,2011,Y,Gross Cost,179
2011-09-30,Department of Labor,2011,Y,Earned Revenue,NA
2011-09-30,Department of Labor,2011,Y,Subtotal,179
2011-09-30,Department of Labor,2011,Y,Change in Assumptions,NA
2011-09-30,Department of Labor,2011,Y,Net Cost,179
2011-09-30,Department of the Treasury,2011,Y,Gross Cost,402.3
2011-09-30,Department of the Treasury,2011,Y,Earned Revenue,29.4
2011-09-30,Department of the Treasury,2011,Y,Subtotal,372.9
2011-09-30,Department of the Treasury,2011,Y,Change in Assumptions,NA
2011-09-30,Department of the Treasury,2011,Y,Net Cost,372.9
2011-09-30,Department of Transportation,2011,Y,Gross Cost,80.4
2011-09-30,Department of Transportation,2011,Y,Earned Revenue,0.6
2011-09-30,Department of Transportation,2011,Y,Subtotal,79.8
2011-09-30,Department of Transportation,2011,Y,Change in Assumptions,NA
2011-09-30,Department of Transportation,2011,Y,Net Cost,79.8
2011-09-30,Department of Housing and Urban Development,2011,Y,Gross Cost,56.7
2011-09-30,Department of Housing and Urban Development,2011,Y,Earned Revenue,1.3
2011-09-30,Department of Housing and Urban Development,2011,Y,Subtotal,55.4
2011-09-30,Department of Housing and Urban Development,2011,Y,Change in Assumptions,NA
2011-09-30,Department of Housing and Urban Development,2011,Y,Net Cost,55.4
2011-09-30,Department of Education,2011,Y,Gross Cost,100.8
2011-09-30,Department of Education,2011,Y,Earned Revenue,11.3
2011-09-30,Department of Education,2011,Y,Subtotal,89.5
2011-09-30,Department of Education,2011,Y,Change in Assumptions,NA
2011-09-30,Department of Education,2011,Y,Net Cost,89.5
2011-09-30,Department of Homeland Security,2011,Y,Gross Cost,58.9
2011-09-30,Department of Homeland Security,2011,Y,Earned Revenue,8.9
2011-09-30,Department of Homeland Security,2011,Y,Subtotal,50
2011-09-30,Department of Homeland Security,2011,Y,Change in Assumptions,5.7
2011-09-30,Department of Homeland Security,2011,Y,Net Cost,55.7
2011-09-30,Department of Energy,2011,Y,Gross Cost,28.9
2011-09-30,Department of Energy,2011,Y,Earned Revenue,3.8
2011-09-30,Department of Energy,2011,Y,Subtotal,25.1
2011-09-30,Department of Energy,2011,Y,Change in Assumptions,NA
2011-09-30,Department of Energy,2011,Y,Net Cost,25.1
2011-09-30,Department of Justice,2011,Y,Gross Cost,32.7
2011-09-30,Department of Justice,2011,Y,Earned Revenue,1.2
2011-09-30,Department of Justice,2011,Y,Subtotal,31.5
2011-09-30,Department of Justice,2011,Y,Change in Assumptions,NA
2011-09-30,Department of Justice,2011,Y,Net Cost,31.5
2011-09-30,Office of Personnel Management,2011,Y,Gross Cost,43.5
2011-09-30,Office of Personnel Management,2011,Y,Earned Revenue,18
2011-09-30,Office of Personnel Management,2011,Y,Subtotal,25.5
2011-09-30,Office of Personnel Management,2011,Y,Change in Assumptions,84.1
2011-09-30,Office of Personnel Management,2011,Y,Net Cost,109.6
2011-09-30,Department of State,2011,Y,Gross Cost,24.5
2011-09-30,Department of State,2011,Y,Earned Revenue,2.8
2011-09-30,Department of State,2011,Y,Subtotal,21.7
2011-09-30,Department of State,2011,Y,Change in Assumptions,0.6
2011-09-30,Department of State,2011,Y,Net Cost,22.3
2011-09-30,Department of the Interior,2011,Y,Gross Cost,20.7
2011-09-30,Department of the Interior,2011,Y,Earned Revenue,2.4
2011-09-30,Department of the Interior,2011,Y,Subtotal,18.3
2011-09-30,Department of the Interior,2011,Y,Change in Assumptions,NA
2011-09-30,Department of the Interior,2011,Y,Net Cost,18.3
2011-09-30,National Aeronautics and Space Administration,2011,Y,Gross Cost,22.1
2011-09-30,National Aeronautics and Space Administration,2011,Y,Earned Revenue,0.1
2011-09-30,National Aeronautics and Space Administration,2011,Y,Subtotal,22
2011-09-30,National Aeronautics and Space Administration,2011,Y,Change in Assumptions,NA
2011-09-30,National Aeronautics and Space Administration,2011,Y,Net Cost,22
2011-09-30,Agency for International Development,2011,Y,Gross Cost,10.7
2011-09-30,Agency for International Development,2011,Y,Earned Revenue,0.2
2011-09-30,Agency for International Development,2011,Y,Subtotal,10.5
2011-09-30,Agency for International Development,2011,Y,Change in Assumptions,NA
2011-09-30,Agency for International Development,2011,Y,Net Cost,10.5
2011-09-30,Railroad Retirement Board,2011,Y,Gross Cost,14.6
2011-09-30,Railroad Retirement Board,2011,Y,Earned Revenue,5.8
2011-09-30,Railroad Retirement Board,2011,Y,Subtotal,8.8
2011-09-30,Railroad Retirement Board,2011,Y,Change in Assumptions,NA
2011-09-30,Railroad Retirement Board,2011,Y,Net Cost,8.8
2011-09-30,Environmental Protection Agency,2011,Y,Gross Cost,12.7
2011-09-30,Environmental Protection Agency,2011,Y,Earned Revenue,0.5
2011-09-30,Environmental Protection Agency,2011,Y,Subtotal,12.2
2011-09-30,Environmental Protection Agency,2011,Y,Change in Assumptions,NA
2011-09-30,Environmental Protection Agency,2011,Y,Net Cost,12.2
2011-09-30,Federal Communications Commission,2011,Y,Gross Cost,9.5
2011-09-30,Federal Communications Commission,2011,Y,Earned Revenue,0.5
2011-09-30,Federal Communications Commission,2011,Y,Subtotal,9
2011-09-30,Federal Communications Commission,2011,Y,Change in Assumptions,NA
2011-09-30,Federal Communications Commission,2011,Y,Net Cost,9
2011-09-30,Department of Commerce,2011,Y,Gross Cost,16.5
2011-09-30,Department of Commerce,2011,Y,Earned Revenue,2.3
2011-09-30,Department of Commerce,2011,Y,Subtotal,14.2
2011-09-30,Department of Commerce,2011,Y,Change in Assumptions,NA
2011-09-30,Department of Commerce,2011,Y,Net Cost,14.2
2011-09-30,National Science Foundation,2011,Y,Gross Cost,6.9
2011-09-30,National Science Foundation,2011,Y,Earned Revenue,NA
2011-09-30,National Science Foundation,2011,Y,Subtotal,6.9
2011-09-30,National Science Foundation,2011,Y,Change in Assumptions,NA
2011-09-30,National Science Foundation,2011,Y,Net Cost,6.9
2011-09-30,Pension Benefit Guaranty Corporation,2011,Y,Gross Cost,11.9
2011-09-30,Pension Benefit Guaranty Corporation,2011,Y,Earned Revenue,8.1
2011-09-30,Pension Benefit Guaranty Corporation,2011,Y,Subtotal,3.8
2011-09-30,Pension Benefit Guaranty Corporation,2011,Y,Change in Assumptions,NA
2011-09-30,Pension Benefit Guaranty Corporation,2011,Y,Net Cost,3.8
2011-09-30,Small Business Administration,2011,Y,Gross Cost,5.4
2011-09-30,Small Business Administration,2011,Y,Earned Revenue,0.4
2011-09-30,Small Business Administration,2011,Y,Subtotal,5
2011-09-30,Small Business Administration,2011,Y,Change in Assumptions,NA
2011-09-30,Small Business Administration,2011,Y,Net Cost,5
2011-09-30,Smithsonian Institution,2011,Y,Gross Cost,0.8
2011-09-30,Smithsonian Institution,2011,Y,Earned Revenue,NA
2011-09-30,Smithsonian Institution,2011,Y,Subtotal,0.8
2011-09-30,Smithsonian Institution,2011,Y,Change in Assumptions,NA
2011-09-30,Smithsonian Institution,2011,Y,Net Cost,0.8
2011-09-30,U.S. Nuclear Regulatory Commission,2011,Y,Gross Cost,1.2
2011-09-30,U.S. Nuclear Regulatory Commission,2011,Y,Earned Revenue,0.9
2011-09-30,U.S. Nuclear Regulatory Commission,2011,Y,Subtotal,0.3
2011-09-30,U.S. Nuclear Regulatory Commission,2011,Y,Change in Assumptions,NA
2011-09-30,U.S. Nuclear Regulatory Commission,2011,Y,Net Cost,0.3
2011-09-30,Farm Credit System Insurance Corporation,2011,Y,Gross Cost,NA
2011-09-30,Farm Credit System Insurance Corporation,2011,Y,Earned Revenue,0.1
2011-09-30,Farm Credit System Insurance Corporation,2011,Y,Subtotal,-0.1
2011-09-30,Farm Credit System Insurance Corporation,2011,Y,Change in Assumptions,NA
2011-09-30,Farm Credit System Insurance Corporation,2011,Y,Net Cost,-0.1
2011-09-30,Export-Import Bank of the United States,2011,Y,Gross Cost,0.4
2011-09-30,Export-Import Bank of the United States,2011,Y,Earned Revenue,0.7
2011-09-30,Export-Import Bank of the United States,2011,Y,Subtotal,-0.3
2011-09-30,Export-Import Bank of the United States,2011,Y,Change in Assumptions,NA
2011-09-30,Export-Import Bank of the United States,2011,Y,Net Cost,-0.3
2011-09-30,General Services Administration,2011,Y,Gross Cost,0.6
2011-09-30,General Services Administration,2011,Y,Earned Revenue,0.6
2011-09-30,General Services Administration,2011,Y,Subtotal,NA
2011-09-30,General Services Administration,2011,Y,Change in Assumptions,NA
2011-09-30,General Services Administration,2011,Y,Net Cost,NA
2011-09-30,Tennessee Valley Authority,2011,Y,Gross Cost,9.7
2011-09-30,Tennessee Valley Authority,2011,Y,Earned Revenue,10.8
2011-09-30,Tennessee Valley Authority,2011,Y,Subtotal,-1.1
2011-09-30,Tennessee Valley Authority,2011,Y,Change in Assumptions,NA
2011-09-30,Tennessee Valley Authority,2011,Y,Net Cost,-1.1
2011-09-30,Securities and Exchange Commission,2011,Y,Gross Cost,1.1
2011-09-30,Securities and Exchange Commission,2011,Y,Earned Revenue,1.4
2011-09-30,Securities and Exchange Commission,2011,Y,Subtotal,-0.3
2011-09-30,Securities and Exchange Commission,2011,Y,Change in Assumptions,NA
2011-09-30,Securities and Exchange Commission,2011,Y,Net Cost,-0.3
2011-09-30,National Credit Union Administration,2011,Y,Gross Cost,3.2
2011-09-30,National Credit Union Administration,2011,Y,Earned Revenue,1.1
2011-09-30,National Credit Union Administration,2011,Y,Subtotal,2.1
2011-09-30,National Credit Union Administration,2011,Y,Change in Assumptions,NA
2011-09-30,National Credit Union Administration,2011,Y,Net Cost,2.1
2011-09-30,U.S. Postal Service,2011,Y,Gross Cost,57.3
2011-09-30,U.S. Postal Service,2011,Y,Earned Revenue,65.7
2011-09-30,U.S. Postal Service,2011,Y,Subtotal,-8.4
2011-09-30,U.S. Postal Service,2011,Y,Change in Assumptions,NA
2011-09-30,U.S. Postal Service,2011,Y,Net Cost,-8.4
2011-09-30,Federal Deposit Insurance Corporation,2011,Y,Gross Cost,16.8
2011-09-30,Federal Deposit Insurance Corporation,2011,Y,Earned Revenue,16.1
2011-09-30,Federal Deposit Insurance Corporation,2011,Y,Subtotal,0.7
2011-09-30,Federal Deposit Insurance Corporation,2011,Y,Change in Assumptions,NA
2011-09-30,Federal Deposit Insurance Corporation,2011,Y,Net Cost,0.7
2011-09-30,All other entities,2011,Y,Gross Cost,47.3
2011-09-30,All other entities,2011,Y,Earned Revenue,0.7
2011-09-30,All other entities,2011,Y,Subtotal,46.6
2011-09-30,All other entities,2011,Y,Change in Assumptions,NA
2011-09-30,All other entities,2011,Y,Net Cost,46.6
2011-09-30,Total,2011,Y,Gross Cost,4472.3
2011-09-30,Total,2011,Y,Earned Revenue,309.2
2011-09-30,Total,2011,Y,Subtotal,4163.1
2011-09-30,Total,2011,Y,Change in Assumptions,132.9
2011-09-30,Total,2011,Y,Net Cost,4296
2010-09-30,Department of Defense,2010,N,Gross Cost,929
2010-09-30,Department of Defense,2010,N,Earned Revenue,39.8
2010-09-30,Department of Defense,2010,N,Subtotal,NA
2010-09-30,Department of Defense,2010,N,Change in Assumptions,NA
2010-09-30,Department of Defense,2010,N,Net Cost,889.2
2010-09-30,Department of Health and Human Services,2010,N,Gross Cost,920.4
2010-09-30,Department of Health and Human Services,2010,N,Earned Revenue,62.7
2010-09-30,Department of Health and Human Services,2010,N,Subtotal,NA
2010-09-30,Department of Health and Human Services,2010,N,Change in Assumptions,NA
2010-09-30,Department of Health and Human Services,2010,N,Net Cost,857.7
2010-09-30,Social Security Administration,2010,N,Gross Cost,754.2
2010-09-30,Social Security Administration,2010,N,Earned Revenue,0.3
2010-09-30,Social Security Administration,2010,N,Subtotal,NA
2010-09-30,Social Security Administration,2010,N,Change in Assumptions,NA
2010-09-30,Social Security Administration,2010,N,Net Cost,753.9
2010-09-30,Department of the Treasury,2010,N,Gross Cost,402.3
2010-09-30,Department of the Treasury,2010,N,Earned Revenue,29.4
2010-09-30,Department of the Treasury,2010,N,Subtotal,NA
2010-09-30,Department of the Treasury,2010,N,Change in Assumptions,NA
2010-09-30,Department of the Treasury,2010,N,Net Cost,372.9
2010-09-30,Department of Veterans Affairs,2010,N,Gross Cost,240.2
2010-09-30,Department of Veterans Affairs,2010,N,Earned Revenue,4.7
2010-09-30,Department of Veterans Affairs,2010,N,Subtotal,NA
2010-09-30,Department of Veterans Affairs,2010,N,Change in Assumptions,NA
2010-09-30,Department of Veterans Affairs,2010,N,Net Cost,235.5
2010-09-30,Interest on Treasury Securities held by the public,2010,N,Gross Cost,214.8
2010-09-30,Interest on Treasury Securities held by the public,2010,N,Earned Revenue,NA
2010-09-30,Interest on Treasury Securities held by the public,2010,N,Subtotal,NA
2010-09-30,Interest on Treasury Securities held by the public,2010,N,Change in Assumptions,NA
2010-09-30,Interest on Treasury Securities held by the public,2010,N,Net Cost,214.8
2010-09-30,Department of Labor,2010,N,Gross Cost,179
2010-09-30,Department of Labor,2010,N,Earned Revenue,NA
2010-09-30,Department of Labor,2010,N,Subtotal,NA
2010-09-30,Department of Labor,2010,N,Change in Assumptions,NA
2010-09-30,Department of Labor,2010,N,Net Cost,179
2010-09-30,Department of Agriculture,2010,N,Gross Cost,136.6
2010-09-30,Department of Agriculture,2010,N,Earned Revenue,6
2010-09-30,Department of Agriculture,2010,N,Subtotal,NA
2010-09-30,Department of Agriculture,2010,N,Change in Assumptions,NA
2010-09-30,Department of Agriculture,2010,N,Net Cost,130.6
2010-09-30,Department of Education,2010,N,Gross Cost,100.8
2010-09-30,Department of Education,2010,N,Earned Revenue,11.3
2010-09-30,Department of Education,2010,N,Subtotal,NA
2010-09-30,Department of Education,2010,N,Change in Assumptions,NA
2010-09-30,Department of Education,2010,N,Net Cost,89.5
2010-09-30,Department of Transportation,2010,N,Gross Cost,80.4
2010-09-30,Department of Transportation,2010,N,Earned Revenue,0.6
2010-09-30,Department of Transportation,2010,N,Subtotal,NA
2010-09-30,Department of Transportation,2010,N,Change in Assumptions,NA
2010-09-30,Department of Transportation,2010,N,Net Cost,79.8
2010-09-30,Department of Homeland Security,2010,N,Gross Cost,58.9
2010-09-30,Department of Homeland Security,2010,N,Earned Revenue,8.9
2010-09-30,Department of Homeland Security,2010,N,Subtotal,NA
2010-09-30,Department of Homeland Security,2010,N,Change in Assumptions,NA
2010-09-30,Department of Homeland Security,2010,N,Net Cost,50
2010-09-30,U.S. Postal Service,2010,N,Gross Cost,57.3
2010-09-30,U.S. Postal Service,2010,N,Earned Revenue,65.7
2010-09-30,U.S. Postal Service,2010,N,Subtotal,NA
2010-09-30,U.S. Postal Service,2010,N,Change in Assumptions,NA
2010-09-30,U.S. Postal Service,2010,N,Net Cost,-8.4
2010-09-30,Department of Housing and Urban Development,2010,N,Gross Cost,56.7
2010-09-30,Department of Housing and Urban Development,2010,N,Earned Revenue,1.3
2010-09-30,Department of Housing and Urban Development,2010,N,Subtotal,NA
2010-09-30,Department of Housing and Urban Development,2010,N,Change in Assumptions,NA
2010-09-30,Department of Housing and Urban Development,2010,N,Net Cost,55.4
2010-09-30,Office of Personnel Management,2010,N,Gross Cost,43.5
2010-09-30,Office of Personnel Management,2010,N,Earned Revenue,18
2010-09-30,Office of Personnel Management,2010,N,Subtotal,NA
2010-09-30,Office of Personnel Management,2010,N,Change in Assumptions,NA
2010-09-30,Office of Personnel Management,2010,N,Net Cost,25.5
2010-09-30,Department of Justice,2010,N,Gross Cost,32.7
2010-09-30,Department of Justice,2010,N,Earned Revenue,1.2
2010-09-30,Department of Justice,2010,N,Subtotal,NA
2010-09-30,Department of Justice,2010,N,Change in Assumptions,NA
2010-09-30,Department of Justice,2010,N,Net Cost,31.5
2010-09-30,Department of Energy,2010,N,Gross Cost,28.9
2010-09-30,Department of Energy,2010,N,Earned Revenue,3.8
2010-09-30,Department of Energy,2010,N,Subtotal,NA
2010-09-30,Department of Energy,2010,N,Change in Assumptions,NA
2010-09-30,Department of Energy,2010,N,Net Cost,25.1
2010-09-30,Department of State,2010,N,Gross Cost,24.5
2010-09-30,Department of State,2010,N,Earned Revenue,2.8
2010-09-30,Department of State,2010,N,Subtotal,NA
2010-09-30,Department of State,2010,N,Change in Assumptions,NA
2010-09-30,Department of State,2010,N,Net Cost,21.7
2010-09-30,National Aeronautics and Space Administration,2010,N,Gross Cost,22.1
2010-09-30,National Aeronautics and Space Administration,2010,N,Earned Revenue,0.1
2010-09-30,National Aeronautics and Space Administration,2010,N,Subtotal,NA
2010-09-30,National Aeronautics and Space Administration,2010,N,Change in Assumptions,NA
2010-09-30,National Aeronautics and Space Administration,2010,N,Net Cost,22
2010-09-30,Department of the Interior,2010,N,Gross Cost,20.7
2010-09-30,Department of the Interior,2010,N,Earned Revenue,2.4
2010-09-30,Department of the Interior,2010,N,Subtotal,NA
2010-09-30,Department of the Interior,2010,N,Change in Assumptions,NA
2010-09-30,Department of the Interior,2010,N,Net Cost,18.3
2010-09-30,Federal Deposit Insurance Corporation,2010,N,Gross Cost,16.8
2010-09-30,Federal Deposit Insurance Corporation,2010,N,Earned Revenue,16.1
2010-09-30,Federal Deposit Insurance Corporation,2010,N,Subtotal,NA
2010-09-30,Federal Deposit Insurance Corporation,2010,N,Change in Assumptions,NA
2010-09-30,Federal Deposit Insurance Corporation,2010,N,Net Cost,0.7
2010-09-30,Department of Commerce,2010,N,Gross Cost,16.5
2010-09-30,Department of Commerce,2010,N,Earned Revenue,2.3
2010-09-30,Department of Commerce,2010,N,Subtotal,NA
2010-09-30,Department of Commerce,2010,N,Change in Assumptions,NA
2010-09-30,Department of Commerce,2010,N,Net Cost,14.2
2010-09-30,Railroad Retirement Board,2010,N,Gross Cost,14.6
2010-09-30,Railroad Retirement Board,2010,N,Earned Revenue,5.8
2010-09-30,Railroad Retirement Board,2010,N,Subtotal,NA
2010-09-30,Railroad Retirement Board,2010,N,Change in Assumptions,NA
2010-09-30,Railroad Retirement Board,2010,N,Net Cost,8.8
2010-09-30,Environmental Protection Agency,2010,N,Gross Cost,12.7
2010-09-30,Environmental Protection Agency,2010,N,Earned Revenue,0.5
2010-09-30,Environmental Protection Agency,2010,N,Subtotal,NA
2010-09-30,Environmental Protection Agency,2010,N,Change in Assumptions,NA
2010-09-30,Environmental Protection Agency,2010,N,Net Cost,12.2
2010-09-30,Pension Benefit Guaranty Corporation,2010,N,Gross Cost,11.9
2010-09-30,Pension Benefit Guaranty Corporation,2010,N,Earned Revenue,8.1
2010-09-30,Pension Benefit Guaranty Corporation,2010,N,Subtotal,NA
2010-09-30,Pension Benefit Guaranty Corporation,2010,N,Change in Assumptions,NA
2010-09-30,Pension Benefit Guaranty Corporation,2010,N,Net Cost,3.8
2010-09-30,Agency for International Development,2010,N,Gross Cost,10.7
2010-09-30,Agency for International Development,2010,N,Earned Revenue,0.2
2010-09-30,Agency for International Development,2010,N,Subtotal,NA
2010-09-30,Agency for International Development,2010,N,Change in Assumptions,NA
2010-09-30,Agency for International Development,2010,N,Net Cost,10.5
2010-09-30,Tennessee Valley Authority,2010,N,Gross Cost,9.7
2010-09-30,Tennessee Valley Authority,2010,N,Earned Revenue,10.8
2010-09-30,Tennessee Valley Authority,2010,N,Subtotal,NA
2010-09-30,Tennessee Valley Authority,2010,N,Change in Assumptions,NA
2010-09-30,Tennessee Valley Authority,2010,N,Net Cost,-1.1
2010-09-30,Federal Communications Commission,2010,N,Gross Cost,9.5
2010-09-30,Federal Communications Commission,2010,N,Earned Revenue,0.5
2010-09-30,Federal Communications Commission,2010,N,Subtotal,NA
2010-09-30,Federal Communications Commission,2010,N,Change in Assumptions,NA
2010-09-30,Federal Communications Commission,2010,N,Net Cost,9
2010-09-30,National Science Foundation,2010,N,Gross Cost,6.9
2010-09-30,National Science Foundation,2010,N,Earned Revenue,NA
2010-09-30,National Science Foundation,2010,N,Subtotal,NA
2010-09-30,National Science Foundation,2010,N,Change in Assumptions,NA
2010-09-30,National Science Foundation,2010,N,Net Cost,6.9
2010-09-30,Small Business Administration,2010,N,Gross Cost,5.4
2010-09-30,Small Business Administration,2010,N,Earned Revenue,0.4
2010-09-30,Small Business Administration,2010,N,Subtotal,NA
2010-09-30,Small Business Administration,2010,N,Change in Assumptions,NA
2010-09-30,Small Business Administration,2010,N,Net Cost,5
2010-09-30,National Credit Union Administration,2010,N,Gross Cost,3.2
2010-09-30,National Credit Union Administration,2010,N,Earned Revenue,1.1
2010-09-30,National Credit Union Administration,2010,N,Subtotal,NA
2010-09-30,National Credit Union Administration,2010,N,Change in Assumptions,NA
2010-09-30,National Credit Union Administration,2010,N,Net Cost,2.1
2010-09-30,U.S. Nuclear Regulatory Commission,2010,N,Gross Cost,1.2
2010-09-30,U.S. Nuclear Regulatory Commission,2010,N,Earned Revenue,0.9
2010-09-30,U.S. Nuclear Regulatory Commission,2010,N,Subtotal,NA
2010-09-30,U.S. Nuclear Regulatory Commission,2010,N,Change in Assumptions,NA
2010-09-30,U.S. Nuclear Regulatory Commission,2010,N,Net Cost,0.3
2010-09-30,Securities and Exchange Commission,2010,N,Gross Cost,1.1
2010-09-30,Securities and Exchange Commission,2010,N,Earned Revenue,1.4
2010-09-30,Securities and Exchange Commission,2010,N,Subtotal,NA
2010-09-30,Securities and Exchange Commission,2010,N,Change in Assumptions,NA
2010-09-30,Securities and Exchange Commission,2010,N,Net Cost,-0.3
2010-09-30,Smithsonian Institution,2010,N,Gross Cost,0.8
2010-09-30,Smithsonian Institution,2010,N,Earned Revenue,NA
2010-09-30,Smithsonian Institution,2010,N,Subtotal,NA
2010-09-30,Smithsonian Institution,2010,N,Change in Assumptions,NA
2010-09-30,Smithsonian Institution,2010,N,Net Cost,0.8
2010-09-30,General Services Administration,2010,N,Gross Cost,0.6
2010-09-30,General Services Administration,2010,N,Earned Revenue,0.6
2010-09-30,General Services Administration,2010,N,Subtotal,NA
2010-09-30,General Services Administration,2010,N,Change in Assumptions,NA
2010-09-30,General Services Administration,2010,N,Net Cost,NA
2010-09-30,Export-Import Bank of the United States,2010,N,Gross Cost,0.4
2010-09-30,Export-Import Bank of the United States,2010,N,Earned Revenue,0.7
2010-09-30,Export-Import Bank of the United States,2010,N,Subtotal,NA
2010-09-30,Export-Import Bank of the United States,2010,N,Change in Assumptions,NA
2010-09-30,Export-Import Bank of the United States,2010,N,Net Cost,-0.3
2010-09-30,Farm Credit System Insurance Corporation,2010,N,Gross Cost,NA
2010-09-30,Farm Credit System Insurance Corporation,2010,N,Earned Revenue,0.1
2010-09-30,Farm Credit System Insurance Corporation,2010,N,Subtotal,NA
2010-09-30,Farm Credit System Insurance Corporation,2010,N,Change in Assumptions,NA
2010-09-30,Farm Credit System Insurance Corporation,2010,N,Net Cost,-0.1
2010-09-30,All other entities,2010,N,Gross Cost,47.3
2010-09-30,All other entities,2010,N,Earned Revenue,0.7
2010-09-30,All other entities,2010,N,Subtotal,NA
2010-09-30,All other entities,2010,N,Change in Assumptions,NA
2010-09-30,All other entities,2010,N,Net Cost,46.6
2010-09-30,Subtotal before loss/(gain) from changes in assumptions in 2010,2010,N,Gross Cost,4472.3
2010-09-30,Subtotal before loss/(gain) from changes in assumptions in 2010,2010,N,Earned Revenue,309.2
2010-09-30,Subtotal before loss/(gain) from changes in assumptions in 2010,2010,N,Subtotal,NA
2010-09-30,Subtotal before loss/(gain) from changes in assumptions in 2010,2010,N,Change in Assumptions,NA
2010-09-30,Subtotal before loss/(gain) from changes in assumptions in 2010,2010,N,Net Cost,4163.1
2010-09-30,Subtotal of loss/(gain) from changes in assumptions,2010,N,Gross Cost,132.9
2010-09-30,Subtotal of loss/(gain) from changes in assumptions,2010,N,Earned Revenue,NA
2010-09-30,Subtotal of loss/(gain) from changes in assumptions,2010,N,Subtotal,NA
2010-09-30,Subtotal of loss/(gain) from changes in assumptions,2010,N,Change in Assumptions,NA
2010-09-30,Subtotal of loss/(gain) from changes in assumptions,2010,N,Net Cost,132.9
2010-09-30,Total,2010,N,Gross Cost,4605.2
2010-09-30,Total,2010,N,Earned Revenue,309.2
2010-09-30,Total,2010,N,Subtotal,NA
2010-09-30,Total,2010,N,Change in Assumptions,NA
2010-09-30,Total,2010,N,Net Cost,4296
2010-09-30,Department of Defense,2010,Y,Gross Cost,718.4
2010-09-30,Department of Defense,2010,Y,Earned Revenue,35.6
2010-09-30,Department of Defense,2010,Y,Subtotal,NA
2010-09-30,Department of Defense,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Defense,2010,Y,Net Cost,682.8
2010-09-30,Department of Health and Human Services,2010,Y,Gross Cost,866.4
2010-09-30,Department of Health and Human Services,2010,Y,Earned Revenue,59.5
2010-09-30,Department of Health and Human Services,2010,Y,Subtotal,NA
2010-09-30,Department of Health and Human Services,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Health and Human Services,2010,Y,Net Cost,806.9
2010-09-30,Social Security Administration,2010,Y,Gross Cost,736.6
2010-09-30,Social Security Administration,2010,Y,Earned Revenue,0.4
2010-09-30,Social Security Administration,2010,Y,Subtotal,NA
2010-09-30,Social Security Administration,2010,Y,Change in Assumptions,NA
2010-09-30,Social Security Administration,2010,Y,Net Cost,736.2
2010-09-30,Department of the Treasury,2010,Y,Gross Cost,254.6
2010-09-30,Department of the Treasury,2010,Y,Earned Revenue,19.4
2010-09-30,Department of the Treasury,2010,Y,Subtotal,NA
2010-09-30,Department of the Treasury,2010,Y,Change in Assumptions,NA
2010-09-30,Department of the Treasury,2010,Y,Net Cost,235.2
2010-09-30,Department of Veterans Affairs,2010,Y,Gross Cost,-38.8
2010-09-30,Department of Veterans Affairs,2010,Y,Earned Revenue,4
2010-09-30,Department of Veterans Affairs,2010,Y,Subtotal,NA
2010-09-30,Department of Veterans Affairs,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Veterans Affairs,2010,Y,Net Cost,-42.8
2010-09-30,Interest on Treasury Securities held by the public,2010,Y,Gross Cost,189.1
2010-09-30,Interest on Treasury Securities held by the public,2010,Y,Earned Revenue,NA
2010-09-30,Interest on Treasury Securities held by the public,2010,Y,Subtotal,NA
2010-09-30,Interest on Treasury Securities held by the public,2010,Y,Change in Assumptions,NA
2010-09-30,Interest on Treasury Securities held by the public,2010,Y,Net Cost,189.1
2010-09-30,Department of Labor,2010,Y,Gross Cost,140.2
2010-09-30,Department of Labor,2010,Y,Earned Revenue,NA
2010-09-30,Department of Labor,2010,Y,Subtotal,NA
2010-09-30,Department of Labor,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Labor,2010,Y,Net Cost,140.2
2010-09-30,Department of Agriculture,2010,Y,Gross Cost,132
2010-09-30,Department of Agriculture,2010,Y,Earned Revenue,10.5
2010-09-30,Department of Agriculture,2010,Y,Subtotal,NA
2010-09-30,Department of Agriculture,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Agriculture,2010,Y,Net Cost,121.5
2010-09-30,Department of Education,2010,Y,Gross Cost,44.9
2010-09-30,Department of Education,2010,Y,Earned Revenue,6.5
2010-09-30,Department of Education,2010,Y,Subtotal,NA
2010-09-30,Department of Education,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Education,2010,Y,Net Cost,38.4
2010-09-30,Department of Transportation,2010,Y,Gross Cost,80.1
2010-09-30,Department of Transportation,2010,Y,Earned Revenue,0.5
2010-09-30,Department of Transportation,2010,Y,Subtotal,NA
2010-09-30,Department of Transportation,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Transportation,2010,Y,Net Cost,79.6
2010-09-30,Department of Homeland Security,2010,Y,Gross Cost,62.1
2010-09-30,Department of Homeland Security,2010,Y,Earned Revenue,8.4
2010-09-30,Department of Homeland Security,2010,Y,Subtotal,NA
2010-09-30,Department of Homeland Security,2010,Y,Change in Assumptions,NA
2010-09-30,Department of Homeland Security,2010,Y,Net Cost,53.7
